app_name,duration,date,time
(1) Home / X - Google Chrome,1 minute and 54 seconds,2025-06-07,18:41:21
Task Switching,2 seconds,2025-06-07,18:41:21
dist - File Explorer,2 seconds,2025-06-07,18:41:21
data - File Explorer,2 seconds,2025-06-07,18:41:21
